,is_oceanic,time
201507020600,0.0,345600.0
201507021200,1.0,
201507021800,0.0,108000.0
201507030000,1.0,
201507030600,1.0,
201507031200,1.0,
201507031800,1.0,
201507040000,0.0,604800.0
201507040600,0.0,388800.0
201507041200,0.0,583200.0
201507041800,0.0,604800.0
201507050000,0.0,561600.0
201507050600,0.0,432000.0
201507051200,0.0,378000.0
201507051800,0.0,313200.0
201507060000,0.0,162000.0
201507060600,0.0,410400.0
201507061200,0.0,540000.0
201507061800,0.0,280800.0
201507070000,1.0,
201507070600,0.0,367200.0
201507071200,0.0,604800.0
201507071800,0.0,604800.0
201507080000,0.0,583200.0
201507080600,1.0,
201507081200,1.0,
201507081800,0.0,594000.0
201507090000,0.0,604800.0
201507090600,0.0,572400.0
201507091200,0.0,604800.0
201507091800,1.0,
201507100000,1.0,
201507100600,0.0,280800.0
201507101200,1.0,
201507101800,0.0,75600.0
201507110000,0.0,118800.0
201507110600,0.0,291600.0
201507111200,0.0,432000.0
201507111800,0.0,432000.0
201507120000,0.0,378000.0
201507120600,0.0,291600.0
201507121200,0.0,291600.0
201507121800,0.0,367200.0
201507130000,0.0,388800.0
201507130600,0.0,453600.0
201507131200,0.0,518400.0
201507131800,0.0,453600.0
201507140000,0.0,421200.0
201507140600,0.0,475200.0
201507141200,0.0,334800.0
201507141800,0.0,518400.0
201507150000,0.0,604800.0
201507150600,0.0,464400.0
201507151200,0.0,572400.0
201507151800,0.0,604800.0
201507160000,0.0,604800.0
201507160600,0.0,561600.0
201507161200,0.0,507600.0
201507161800,1.0,
201507170000,1.0,
201507170600,0.0,32400.0
201507171200,1.0,
201507171800,0.0,32400.0
201507180000,1.0,
201507180600,1.0,
201507181200,1.0,
201507181800,0.0,496800.0
201507190000,0.0,432000.0
201507190600,0.0,140400.0
201507191200,0.0,108000.0
201507191800,0.0,108000.0
201507200000,1.0,
201507200600,0.0,475200.0
201507201200,0.0,302400.0
201507201800,0.0,345600.0
201507210000,1.0,
201507210600,1.0,
201507211200,1.0,
201507211800,1.0,
201507220000,1.0,
201507220600,1.0,
201507221200,1.0,
201507221800,1.0,
201507230000,1.0,
201507230600,1.0,
201507231200,1.0,
201507231800,1.0,
201507240000,1.0,
201507240600,1.0,
201507241200,1.0,
201507241800,1.0,
201507250000,1.0,
201507250600,1.0,
201507251200,1.0,
201507251800,1.0,
201507260000,1.0,
201507260600,0.0,64800.0
201507261200,1.0,
201507261800,1.0,
201507270000,1.0,
201507270600,0.0,97200.0
201507271200,0.0,129600.0
201507271800,1.0,
201507280000,1.0,
201507280600,1.0,
201507281200,0.0,291600.0
201507281800,0.0,356400.0
201507290000,1.0,
201507290600,1.0,
201507291200,1.0,
201507291800,1.0,
201507300000,1.0,
201507300600,1.0,
201507301200,1.0,
201507301800,1.0,
201507310000,0.0,496800.0
201507310600,0.0,518400.0
201507311200,1.0,
201507311800,1.0,
201508010000,1.0,
201508010600,0.0,43200.0
201508011200,0.0,75600.0
201508011800,1.0,
201508020000,1.0,
201508020600,1.0,
201508021200,1.0,
201508021800,1.0,
201508030000,0.0,313200.0
201508030600,1.0,
201508031200,1.0,
201508031800,1.0,
201508040000,1.0,
201508040600,1.0,
201508041200,0.0,604800.0
201508041800,1.0,
201508050000,1.0,
201508050600,1.0,
201508051200,1.0,
201508051800,1.0,
201508060000,1.0,
201508060600,1.0,
201508061200,1.0,
201508061800,1.0,
201508070000,1.0,
201508070600,0.0,583200.0
201508071200,0.0,313200.0
201508071800,1.0,
201508080000,1.0,
201508080600,0.0,259200.0
201508081200,0.0,75600.0
201508081800,0.0,108000.0
201508090000,0.0,129600.0
201508090600,0.0,151200.0
201508091200,0.0,421200.0
201508091800,0.0,604800.0
201508100000,0.0,518400.0
201508100600,0.0,529200.0
201508101200,0.0,507600.0
201508101800,0.0,604800.0
201508110000,0.0,421200.0
201508110600,0.0,604800.0
201508111200,0.0,561600.0
201508111800,0.0,604800.0
201508120000,1.0,
201508120600,1.0,
201508121200,0.0,604800.0
201508121800,0.0,550800.0
201508130000,0.0,507600.0
201508130600,0.0,540000.0
201508131200,1.0,
201508131800,1.0,
201508140000,1.0,
201508140600,1.0,
201508141200,0.0,486000.0
201508141800,0.0,237600.0
201508150000,0.0,291600.0
201508150600,0.0,43200.0
201508151200,1.0,
201508151800,1.0,
201508160000,1.0,
201508160600,1.0,
201508161200,0.0,604800.0
201508161800,1.0,
201508170000,0.0,604800.0
201508170600,0.0,604800.0
201508171200,1.0,
201508171800,0.0,604800.0
201508180000,0.0,604800.0
201508180600,1.0,
201508181200,1.0,
201508181800,0.0,313200.0
201508190000,1.0,
201508190600,1.0,
201508191200,1.0,
201508191800,1.0,
201508200000,1.0,
201508200600,1.0,
201508201200,1.0,
201508201800,1.0,
201508210000,1.0,
201508210600,1.0,
201508211200,0.0,572400.0
201508211800,0.0,205200.0
201508220000,0.0,194400.0
201508220600,0.0,108000.0
201508221200,0.0,140400.0
201508221800,0.0,64800.0
201508230000,0.0,507600.0
201508230600,0.0,496800.0
201508231200,0.0,108000.0
201508231800,0.0,97200.0
201508240000,0.0,151200.0
201508240600,0.0,518400.0
201508241200,0.0,572400.0
201508241800,0.0,410400.0
201508250000,0.0,378000.0
201508250600,0.0,302400.0
201508251200,0.0,345600.0
201508251800,0.0,259200.0
201508260000,0.0,388800.0
201508260600,0.0,453600.0
201508261200,0.0,205200.0
201508261800,0.0,162000.0
201508270000,0.0,507600.0
201508270600,1.0,
201508271200,0.0,237600.0
201508271800,0.0,356400.0
201508280000,0.0,507600.0
201508280600,0.0,334800.0
201508281200,0.0,324000.0
201508281800,0.0,345600.0
201508290000,0.0,507600.0
201508290600,0.0,356400.0
201508291200,1.0,
201508291800,0.0,410400.0
201508300000,0.0,464400.0
201508300600,0.0,475200.0
201508301200,0.0,475200.0
201508301800,0.0,496800.0
201508310000,0.0,518400.0
201508310600,0.0,162000.0
201508311200,1.0,
201508311800,1.0,
201509010000,1.0,
201509010600,1.0,
201509011200,1.0,
201509011800,1.0,
201509020000,1.0,
201509020600,1.0,
201509021200,1.0,
201509021800,1.0,
201509030000,1.0,
201509030600,1.0,
201509031200,1.0,
201509031800,1.0,
201509040000,1.0,
201509040600,1.0,
201509041200,1.0,
201509041800,1.0,
201509050000,1.0,
201509050600,1.0,
201509051200,1.0,
201509051800,1.0,
201509060000,1.0,
201509060600,1.0,
201509061200,1.0,
201509061800,0.0,604800.0
201509070000,1.0,
201509070600,1.0,
201509071200,1.0,
201509071800,1.0,
201509080000,0.0,486000.0
201509080600,0.0,183600.0
201509081200,0.0,583200.0
201509081800,0.0,334800.0
201509090000,0.0,334800.0
201509090600,0.0,334800.0
201509091200,0.0,378000.0
201509091800,0.0,388800.0
201509100000,0.0,442800.0
201509100600,0.0,140400.0
201509101200,0.0,291600.0
201509101800,0.0,302400.0
201509110000,0.0,486000.0
201509110600,0.0,162000.0
201509111200,0.0,172800.0
201509111800,1.0,
201509120000,0.0,43200.0
201509120600,1.0,
201509121200,1.0,
201509121800,0.0,334800.0
201509130000,0.0,334800.0
201509130600,1.0,
201509131200,1.0,
201509131800,0.0,334800.0
201509140000,0.0,356400.0
201509140600,0.0,313200.0
201509141200,0.0,464400.0
201509141800,0.0,507600.0
201509150000,0.0,496800.0
201509150600,0.0,518400.0
201509151200,0.0,529200.0
201509151800,0.0,583200.0
201509160000,0.0,594000.0
201509160600,1.0,
201509161200,1.0,
201509161800,1.0,
201509170000,1.0,
201509170600,1.0,
201509171200,1.0,
201509171800,1.0,
201509180000,1.0,
201509180600,1.0,
201509181200,1.0,
201509181800,1.0,
201509190000,1.0,
201509190600,1.0,
201509191200,1.0,
201509191800,1.0,
201509200000,1.0,
201509200600,1.0,
201509201200,1.0,
201509201800,1.0,
201509210000,1.0,
201509210600,1.0,
201509211200,1.0,
201509211800,1.0,
201509220000,1.0,
201509220600,1.0,
201509221200,1.0,
201509221800,1.0,
201509230000,0.0,172800.0
201509230600,0.0,64800.0
201509231200,0.0,86400.0
201509231800,1.0,
201509240000,1.0,
201509240600,1.0,
201509241200,0.0,345600.0
201509241800,0.0,518400.0
201509250000,0.0,194400.0
201509250600,0.0,237600.0
201509251200,0.0,291600.0
201509251800,0.0,291600.0
201509260000,0.0,291600.0
201509260600,0.0,129600.0
201509261200,0.0,237600.0
201509261800,1.0,
201509270000,0.0,334800.0
201509270600,0.0,334800.0
201509271200,0.0,32400.0
201509271800,1.0,
201509280000,1.0,
201509280600,1.0,
201509281200,0.0,129600.0
201509281800,0.0,183600.0
201509290000,0.0,604800.0
201509290600,0.0,529200.0
201509291200,0.0,604800.0
201509291800,1.0,
201509300000,0.0,464400.0
201509300600,0.0,529200.0
201509301200,0.0,540000.0
201509301800,1.0,
201510010000,1.0,
201510010600,1.0,
201510011200,1.0,
201510011800,1.0,
201510020000,1.0,
201510020600,1.0,
201510021200,1.0,
201510021800,1.0,
201510030000,1.0,
201510030600,1.0,
201510031200,1.0,
201510031800,1.0,
201510040000,1.0,
201510040600,1.0,
201510041200,1.0,
201510041800,1.0,
201510050000,1.0,
201510050600,0.0,86400.0
201510051200,0.0,378000.0
201510051800,0.0,399600.0
201510060000,0.0,378000.0
201510060600,0.0,378000.0
201510061200,0.0,270000.0
201510061800,0.0,334800.0
201510070000,1.0,
201510070600,1.0,
201510071200,1.0,
201510071800,0.0,172800.0
201510080000,0.0,194400.0
201510080600,1.0,
201510081200,1.0,
201510081800,1.0,
201510090000,1.0,
201510090600,1.0,
201510091200,1.0,
201510091800,1.0,
201510100000,1.0,
201510100600,1.0,
201510101200,1.0,
201510101800,1.0,
201510110000,1.0,
201510110600,0.0,151200.0
201510111200,0.0,291600.0
201510111800,1.0,
201510120000,0.0,205200.0
201510120600,0.0,216000.0
201510121200,1.0,
201510121800,1.0,
201510130000,0.0,205200.0
201510130600,0.0,280800.0
201510131200,0.0,367200.0
201510131800,1.0,
201510140000,1.0,
201510140600,0.0,291600.0
201510141200,0.0,399600.0
201510141800,0.0,410400.0
201510150000,0.0,356400.0
201510150600,0.0,216000.0
201510151200,0.0,280800.0
201510151800,0.0,270000.0
201510160000,0.0,237600.0
201510160600,0.0,324000.0
201510161200,1.0,
201510161800,1.0,
201510170000,0.0,226800.0
201510170600,0.0,205200.0
201510171200,0.0,291600.0
201510171800,0.0,464400.0
201510180000,0.0,291600.0
201510180600,1.0,
201510181200,0.0,43200.0
201510181800,1.0,
201510190000,1.0,
201510190600,1.0,
201510191200,1.0,
201510191800,1.0,
201510200000,1.0,
201510200600,1.0,
201510201200,1.0,
201510201800,0.0,604800.0
201510210000,1.0,
201510210600,0.0,248400.0
201510211200,1.0,
201510211800,1.0,
201510220000,1.0,
201510220600,0.0,432000.0
201510221200,1.0,
201510221800,1.0,
201510230000,1.0,
201510230600,0.0,54000.0
