,is_oceanic
200712200000,0.0
200712200600,0.0
200712201200,0.0
200712201800,0.0
200712210000,0.0
200712210600,0.0
200712211200,0.0
200712211800,0.0
200712220000,0.0
200712220600,0.0
200712221200,0.0
200712221800,0.0
200712230000,0.0
200712230600,0.0
200712231200,0.0
200712231800,0.0
200712240000,0.0
200712240600,0.0
200712241200,1.0
200712241800,1.0
200712250000,1.0
200712250600,1.0
200712251200,1.0
200712251800,1.0
200712260000,1.0
200712260600,0.0
200712261200,1.0
200712261800,1.0
200712270000,1.0
200712270600,1.0
200712271200,1.0
200712271800,1.0
200712280000,1.0
200712280600,1.0
200712281200,1.0
200712281800,0.0
200712290000,0.0
200712290600,1.0
200712291200,1.0
200712291800,1.0
200712300000,1.0
200712300600,1.0
200712301200,1.0
200712301800,1.0
200712310000,1.0
200712310600,1.0
200712311200,0.0
200712311800,1.0
200801010000,1.0
200801010600,0.0
200801011200,0.0
200801011800,0.0
200801020000,0.0
200801020600,0.0
200801021200,0.0
200801021800,0.0
200801030000,0.0
200801030600,0.0
200801031200,0.0
200801031800,0.0
200801040000,0.0
200801040600,0.0
200801041200,1.0
200801041800,1.0
200801050000,1.0
200801050600,1.0
200801051200,1.0
200801051800,1.0
200801060000,1.0
200801060600,1.0
200801061200,1.0
200801061800,1.0
200801070000,1.0
200801070600,1.0
200801071200,1.0
200801071800,1.0
200801080000,1.0
200801080600,0.0
200801081200,1.0
200801081800,1.0
200801090000,1.0
200801090600,1.0
200801091200,1.0
200801091800,1.0
200801100000,0.0
200801100600,1.0
200801101200,1.0
200801101800,1.0
200801110000,1.0
200801110600,1.0
200801111200,1.0
200801111800,0.0
200801120000,0.0
200801120600,0.0
200801121200,0.0
200801121800,1.0
200801130000,1.0
200801130600,1.0
200801131200,0.0
200801131800,1.0
200801140000,1.0
200801140600,1.0
200801141200,1.0
200801141800,1.0
200801150000,1.0
200801150600,0.0
200801151200,1.0
200801151800,1.0
200801160000,1.0
200801160600,0.0
200801161200,0.0
200801161800,0.0
200801170000,1.0
200801170600,1.0
200801171200,1.0
200801171800,1.0
200801180000,1.0
200801180600,1.0
200801181200,1.0
200801181800,1.0
200801190000,1.0
200801190600,1.0
200801191200,1.0
200801191800,1.0
200801200000,1.0
200801200600,1.0
200801201200,1.0
200801201800,0.0
200801210000,1.0
200801210600,1.0
200801211200,1.0
200801211800,1.0
200801220000,1.0
200801220600,1.0
200801221200,1.0
200801221800,1.0
200801230000,1.0
200801230600,1.0
200801231200,1.0
